Point_Index,X_Coordinate,Y_Coordinate,U_Numerical,U_Analytical,Error
1, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
2, 2.00000000E-02, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
3, 4.00000000E-02, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
4, 6.00000000E-02, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
5, 8.00000000E-02, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
6, 1.00000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
7, 1.20000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
8, 1.40000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
9, 1.60000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
10, 1.80000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
11, 2.00000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
12, 2.20000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
13, 2.40000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
14, 2.60000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
15, 2.80000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
16, 3.00000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
17, 3.20000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
18, 3.40000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
19, 3.60000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
20, 3.80000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
21, 4.00000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
22, 4.20000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
23, 4.40000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
24, 4.60000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
25, 4.80000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
26, 5.00000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
27, 5.20000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
28, 5.40000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
29, 5.60000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
30, 5.80000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
31, 6.00000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
32, 6.20000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
33, 6.40000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
